"","x"
"128","t1_.rol_success_pp_off_l20"
"129","t1_.rol_wpa_pp_def_l3"
"130","t1_rol_pf_pg_l3_diffl20"
"131","t1_.rol_pass_success_pp_off_l1_oa"
"132","t2_.rol_pass_pp_def_l3_oa"
"133","t2_.rol_sack_pg_def_l3_diffl20"
"134","t1_.rol_pass_wpa_pp_off_l3"
"135","t1_.rol_touchdown_pg_def_l3_diffl20"
"136","t1_.rol_play_count_pg_def_l1_oa"
"137","t2_.rol_sack_pg_off_l1_oa"
"138","t1_.rol_run_EPA_pp_def_l1_oa"
"139","t2_.rol_run_wpa_pp_off_l1"
"140","t1_.rol_touchdown_pg_off_l3_diffl20"
"141","t2_.rol_run_EPA_pp_def_l3"
"142","t2_rol_pf_pg_l1_oa"
"143","t2_.rol_EPA_pp_off_l3_oa_diffl20"
"144","t1_rol_opp_talent_l20"
"145","t1_rol_opp_elo_l3_diffl20"
"146","t2_rol_pa_pg_l3_oa"
"147","t1_rol_pf_pg_ha_l20_oa"
"148","t2_.rol_wpa_pp_off_l1"
"149","t1_.rol_EPA_pp_off_l3"
"150","t1_.rol_punt_pg_off_l1"
"151","t2_rol_opp_elo_l3_diffl20"
"152","t1_rol_opp_talent_l3_diffl20"
"153","t2_rol_opp_rk_l3_diffl20"
"154","t1_rol_record_l20_oa"
"155","t2_.rol_success_pp_def_l1_oa"
"156","t2_.rol_run_success_pp_def_l3"
"157","t1_rol_opp_elo_l3"
"158","t1_.rol_success_pp_def_l20"
"159","t1_.rol_pass_success_pp_off_l3_oa"
"160","t2_.rol_sack_pg_off_l3_diffl20"
"161","t1_.rol_run_success_pp_def_l20_oa"
"162","t1_.rol_run_success_pp_def_l1_oa"
"163","t2_rol_ou_err_l20"
"164","t2_.rol_sack_pg_def_l20_oa"
"165","t1_.rol_play_count_pg_def_l1"
"166","t2_.rol_sack_pg_off_l3_oa_diffl20"
"167","t1_.rol_pass_success_pp_off_l3_oa_diffl20"
"168","t1_.rol_EPA_pp_off_l20_oa"
"169","t1_.rol_run_success_pp_off_l20_oa"
"170","t2_.rol_touchdown_pg_off_l20_oa"
"171","t2_.rol_touchdown_pg_off_l3_diffl20"
"172","t2_.rol_run_EPA_pp_def_l3_oa_diffl20"
