"","actual_t1_cover","game_id","t1_team","t2_team","pred_t1_cp","pred_t1_cover","actual_t1_win","pred_t1_wp","pred_t1_win","actual_over","pred_op","pred_over","t1_book_spread","book_over_under","week","season","t1_home","neutral_site","t1_conference","t2_conference","t1_moneyline","t2_moneyline","spread_correct","spread_winnings","naive_spread_winnings","cover_confidence","t1_ml_prob","t2_ml_prob","pred_t1_ml_value","pred_t2_ml_value","pred_t1_ml_bet","pred_t2_ml_bet","ml_correct","ml_winnings","naive_ml_winnings","ml_value","ou_correct","ou_winnings","naive_ou_winnings","ou_confidence"
"15",1,401282214,"Western Kentucky","Indiana",0.6307,1,0,0.4188,0,1,0.5463,1,9.5,62.5,4,2021,1,0,"Conference USA","Big Ten",280,-360,1,1.90909090909091,0.954545454545455,0.1307,0.263157894736842,0.782608695652174,0.155642105263158,-0.201408695652174,1,0,0,0,0.638888888888889,0.155642105263158,1,1.90909090909091,0.954545454545455,0.0463
"16",1,401287909,"Oklahoma State","Kansas State",0.6102,1,1,0.6387,1,1,0.4031,0,-6,47.5,4,2021,1,0,"Big 12","Big 12",-210,175,1,1.90909090909091,0.954545454545455,0.1102,0.67741935483871,0.363636363636364,-0.0387193548387096,-0.00233636363636369,0,0,0,1,0.738095238095238,-0.00233636363636369,0,0,0.954545454545455,0.0969
"17",1,401282765,"Maryland","Kent State",0.4322,0,1,0.6604,1,0,0.5981,1,-13,71.5,4,2021,1,0,"Big Ten","Mid-American",-635,435,0,0,0.954545454545455,0.0678,0.863945578231292,0.186915887850467,-0.203545578231292,0.152684112149533,0,1,0,0,0.578740157480315,0.152684112149533,0,0,0.954545454545455,0.0981
"18",0,401282087,"South Carolina","Kentucky",0.5006,1,0,0.3726,0,0,0.4671,0,4.5,49,4,2021,1,0,"SEC","SEC",170,-200,0,0,0.954545454545455,0.000600000000000045,0.37037037037037,0.666666666666667,0.00222962962962964,-0.0392666666666667,1,0,0,0,0.75,0.00222962962962964,1,1.90909090909091,0.954545454545455,0.0329
"19",0,401282085,"Mississippi State","LSU",0.6616,1,0,0.4702,0,0,0.5561,1,1.5,55,4,2021,1,0,"SEC","SEC",105,-125,0,0,0.954545454545455,0.1616,0.48780487804878,0.555555555555556,-0.0176048780487805,-0.0257555555555555,0,0,0,1,0.9,-0.0176048780487805,0,0,0.954545454545455,0.0561
"20",1,401282637,"Syracuse","Liberty",0.3385,0,1,0.3581,0,0,0.6017,1,6.5,54,4,2021,1,0,"ACC","FBS Independents",210,-250,0,0,0.954545454545455,0.1615,0.32258064516129,0.714285714285714,0.0355193548387097,-0.0723857142857143,1,0,1,3.1,1.55,0.0355193548387097,0,0,0.954545454545455,0.1017
"21",1,401282212,"UTEP","New Mexico",0.6425,1,1,0.5195,1,0,0.4107,0,2.5,54,4,2021,1,0,"Conference USA","Mountain West",110,-130,1,1.90909090909091,0.954545454545455,0.1425,0.476190476190476,0.565217391304348,0.0433095238095238,-0.0847173913043477,1,0,1,2.1,1.05,0.0433095238095238,1,1.90909090909091,0.954545454545455,0.0893
"22",0,401282707,"Wisconsin","Notre Dame",0.463,0,0,0.6026,1,1,0.5463,1,-6,44,4,2021,0,1,"Big Ten","FBS Independents",-225,185,1,1.90909090909091,0.954545454545455,0.037,0.692307692307692,0.350877192982456,-0.0897076923076923,0.0465228070175439,0,1,1,2.85,1.425,0.0465228070175439,1,1.90909090909091,0.954545454545455,0.0463
"23",0,401309860,"USC","Oregon State",0.4216,0,0,0.652,1,1,0.515,1,-11,63,4,2021,1,0,"Pac-12","Pac-12",-460,340,1,1.90909090909091,0.954545454545455,0.0784,0.821428571428571,0.227272727272727,-0.169428571428571,0.120727272727273,0,1,1,4.4,2.2,0.120727272727273,1,1.90909090909091,0.954545454545455,0.015
"24",0,401287910,"TCU","SMU",0.4601,0,0,0.5989,1,1,0.4876,0,-9.5,65.5,4,2021,1,0,"Big 12","American Athletic",-380,290,1,1.90909090909091,0.954545454545455,0.0399,0.791666666666667,0.256410256410256,-0.192766666666667,0.144689743589744,0,1,1,3.9,1.95,0.144689743589744,0,0,0.954545454545455,0.0124
"25",1,401309554,"Western Michigan","San José State",0.4518,0,1,0.5052,1,0,0.5112,1,-2.5,62,4,2021,1,0,"Mid-American","Mountain West",-140,120,0,0,0.954545454545455,0.0482,0.583333333333333,0.454545454545455,-0.0781333333333334,0.0402545454545455,0,1,0,0,0.857142857142857,0.0402545454545455,0,0,0.954545454545455,0.0112
"26",1,401309611,"UL Monroe","Troy",0.3881,0,1,0.2468,0,0,0.5096,1,23.5,49.5,4,2021,1,0,"Sun Belt","Sun Belt",1050,-2500,0,0,0.954545454545455,0.1119,0.0869565217391304,0.961538461538462,0.15984347826087,-0.208338461538462,1,0,1,11.5,5.75,0.15984347826087,0,0,0.954545454545455,0.00960000000000005
"27",0,401310710,"New Mexico","Air Force",0.441,0,0,0.0961,0,1,0.6501,1,11.5,45.5,5,2021,1,0,"Mountain West","Mountain West",335,-455,1,1.90909090909091,0.954545454545455,0.059,0.229885057471264,0.81981981981982,-0.133785057471264,0.0840801801801803,0,1,1,1.21978021978022,0.60989010989011,0.0840801801801803,1,1.90909090909091,0.954545454545455,0.1501
"28",0,401309612,"Georgia State","App State",0.5285,1,0,0.2557,0,1,0.4973,0,10,54.5,5,2021,1,0,"Sun Belt","Sun Belt",300,-395,0,0,0.954545454545455,0.0285,0.25,0.797979797979798,0.00569999999999998,-0.053679797979798,1,0,0,0,0.626582278481013,0.00569999999999998,0,0,0.954545454545455,0.00269999999999998
"29",0,401309866,"UCLA","Arizona State",0.4108,0,0,0.5027,1,1,0.5018,1,-3,56,5,2021,1,0,"Pac-12","Pac-12",-145,125,1,1.90909090909091,0.954545454545455,0.0892,0.591836734693878,0.444444444444444,-0.0891367346938775,0.0528555555555555,0,1,1,2.25,1.125,0.0528555555555555,1,1.90909090909091,0.954545454545455,0.00180000000000002
"30",1,401282090,"Georgia","Arkansas",0.6016,1,1,0.8756,1,0,0.5193,1,-16.5,48.5,5,2021,1,0,"SEC","SEC",-700,475,1,1.90909090909091,0.954545454545455,0.1016,0.875,0.173913043478261,0.000600000000000045,-0.0495130434782609,1,0,1,1.14285714285714,0.571428571428571,0.000600000000000045,0,0,0.954545454545455,0.0193
"31",1,401309613,"Georgia Southern","Arkansas State",0.4413,0,1,0.5208,1,1,0.3251,0,-2,66,5,2021,1,0,"Sun Belt","Sun Belt",-125,105,0,0,0.954545454545455,0.0587,0.555555555555556,0.48780487804878,-0.0347555555555555,-0.00860487804878052,0,0,0,1,0.9,-0.00860487804878052,0,0,0.954545454545455,0.1749
"32",1,401309559,"Ball State","Army",0.4624,0,1,0.2752,0,0,0.4921,0,10,47.5,5,2021,1,0,"Mid-American","FBS Independents",310,-415,0,0,0.954545454545455,0.0376,0.24390243902439,0.805825242718447,0.0312975609756098,-0.0810252427184466,1,0,1,4.1,2.05,0.0312975609756098,1,1.90909090909091,0.954545454545455,0.00790000000000002
"33",0,401309912,"Utah State","BYU",0.4935,0,0,0.229,0,0,0.5302,1,8,65.5,5,2021,1,0,"Mountain West","FBS Independents",310,-415,1,1.90909090909091,0.954545454545455,0.00650000000000001,0.24390243902439,0.805825242718447,-0.0149024390243902,-0.0348252427184466,0,0,0,1,0.620481927710843,-0.0149024390243902,0,0,0.954545454545455,0.0302
"34",1,401287914,"Oklahoma State","Baylor",0.557,1,1,0.6356,1,0,0.4485,0,-4,47,5,2021,1,0,"Big 12","Big 12",-175,150,1,1.90909090909091,0.954545454545455,0.0570000000000001,0.636363636363636,0.4,-0.0007636363636363,-0.0356000000000001,0,0,0,1,0.785714285714286,-0.0007636363636363,1,1.90909090909091,0.954545454545455,0.0515
