"","x"
"128","t2_.rol_turnover_pg_off_l3_diffl20"
"129","t1_.rol_run_EPA_pp_def_l3"
"130","t2_rol_record_l1_oa"
"131","t2_.rol_run_wpa_pp_off_l3_oa_diffl20"
"132","t2_.rol_run_EPA_pp_def_l3"
"133","t1_rol_record_l3_oa_diffl20"
"134","t1_rol_pa_pg_l1_oa"
"135","t2_.rol_run_EPA_pp_off_l20"
"136","t2_.rol_punt_pg_off_l20_oa"
"137","t2_.rol_success_pp_off_l3_diffl20"
"138","t1_.rol_pass_EPA_pp_off_l20"
"139","t1_.rol_play_count_pg_def_l1"
"140","t1_.rol_pass_EPA_pp_def_l20"
"141","t2_.rol_run_success_pp_def_l3_oa"
"142","t1_.rol_EPA_pp_off_l3"
"143","t1_.rol_turnover_pg_def_l3_oa"
"144","t2_.rol_punt_pg_def_l1_oa"
"145","t1_.rol_pass_pp_def_l3"
"146","t1_.rol_run_wpa_pp_def_l1_oa"
"147","t2_rol_pf_pg_ha_l20_oa"
"148","t2_.rol_sack_pg_off_l1"
"149","t1_.rol_pass_EPA_pp_off_l1"
"150","t2_.rol_play_count_pg_off_l20"
"151","t2_.rol_touchdown_pg_off_l3_oa_diffl20"
"152","t2_.rol_EPA_pp_off_l3"
"153","t1_.rol_run_EPA_pp_off_l3_oa_diffl20"
"154","t1_rol_pf_pg_l20"
"155","t1_.rol_run_EPA_pp_def_l3_oa_diffl20"
"156","t2_rol_opp_rk_l3_diffl20"
"157","t1_.rol_punt_pg_def_l20_oa"
"158","t1_.rol_play_count_pg_off_l20_oa"
"159","t2_.rol_run_EPA_pp_def_l3_oa"
"160","t2_.rol_pass_wpa_pp_def_l1_oa"
"161","t2_.rol_run_EPA_pp_def_l3_diffl20"
"162","t2_.rol_punt_pg_off_l20"
"163","t2_.rol_run_EPA_pp_off_l1_oa"
"164","t1_rol_pa_pg_l3_oa_diffl20"
"165","t1_.rol_pass_success_pp_off_l20"
"166","t1_.rol_pass_pp_def_l1"
"167","t2_.rol_run_success_pp_def_l20_oa"
"168","t1_.rol_run_success_pp_def_l3_oa"
"169","t1_.rol_sack_pg_off_l3_oa_diffl20"
"170","t2_.rol_pass_EPA_pp_off_l3_oa_diffl20"
"171","t2_.rol_pass_EPA_pp_def_l1_oa"
"172","t2_rol_record_l3_oa"
"173","t2_.rol_pass_EPA_pp_def_l3"
"174","t1_.rol_EPA_pp_off_l20_oa"
"175","t1_.rol_sack_pg_off_l20_oa"
"176","t1_.rol_run_EPA_pp_off_l3_oa"
"177","t2_.rol_pass_pp_def_l3"
"178","t1_.rol_wpa_pp_off_l3_oa"
"179","t2_.rol_pass_wpa_pp_def_l3_oa_diffl20"
"180","t1_.rol_run_EPA_pp_def_l20"
"181","t2_.rol_pass_wpa_pp_off_l20_oa"
"182","t1_rol_pa_pg_l20"
"183","t1_.rol_run_wpa_pp_def_l3_diffl20"
"184","t1_rol_pf_pg_l3_oa_diffl20"
"185","t2_.rol_punt_pg_def_l3_diffl20"
"186","t1_.rol_pass_pp_off_l1"
"187","t1_rol_spr_err_l20"
"188","t1_.rol_EPA_pp_def_l1_oa"
"189","t2_.rol_pass_EPA_pp_off_l1"
"190","t2_.rol_pass_pp_def_l3_oa"
