"","school","color","logo"
"71","Nevada","#002d62","http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png"
"72","New Mexico","#BA0C2F","http://a.espncdn.com/i/teamlogos/ncaa/500/167.png"
"73","New Mexico State","#891216","http://a.espncdn.com/i/teamlogos/ncaa/500/166.png"
"74","North Carolina","#7bafd4","http://a.espncdn.com/i/teamlogos/ncaa/500/153.png"
"75","Northern Illinois","#F1122C","http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png"
"76","North Texas","#00853E","http://a.espncdn.com/i/teamlogos/ncaa/500/249.png"
"77","Northwestern","#582c83","http://a.espncdn.com/i/teamlogos/ncaa/500/77.png"
"78","Notre Dame","#0c2340","http://a.espncdn.com/i/teamlogos/ncaa/500/87.png"
"79","Ohio","#295A29","http://a.espncdn.com/i/teamlogos/ncaa/500/195.png"
"80","Ohio State","#ce1141","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"81","Oklahoma","#a32036","http://a.espncdn.com/i/teamlogos/ncaa/500/201.png"
"82","Oklahoma State","#FF7300","http://a.espncdn.com/i/teamlogos/ncaa/500/197.png"
"83","Old Dominion","#00507d","http://a.espncdn.com/i/teamlogos/ncaa/500/295.png"
"84","Ole Miss","#13294b","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png"
"85","Oregon","#007030","http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png"
"86","Oregon State","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/204.png"
"87","Penn State","#041E42","http://a.espncdn.com/i/teamlogos/ncaa/500/213.png"
"88","Pittsburgh","#003263","http://a.espncdn.com/i/teamlogos/ncaa/500/221.png"
"89","Purdue","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png"
"90","Rice","#d1d5d8","http://a.espncdn.com/i/teamlogos/ncaa/500/242.png"
"91","Rutgers","#d21034","http://a.espncdn.com/i/teamlogos/ncaa/500/164.png"
"92","Sam Houston","#fe5000","http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png"
"93","San Diego State","#c41230","http://a.espncdn.com/i/teamlogos/ncaa/500/21.png"
"94","San José State","#005893","http://a.espncdn.com/i/teamlogos/ncaa/500/23.png"
"95","SMU","#354ca1","http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png"
"96","South Alabama","#00205B","http://a.espncdn.com/i/teamlogos/ncaa/500/6.png"
"97","South Carolina","#73000a","http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png"
"98","Southern Miss","#FFAA3C","http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png"
"99","South Florida","#004A36","http://a.espncdn.com/i/teamlogos/ncaa/500/58.png"
"100","Stanford","#8c1515","http://a.espncdn.com/i/teamlogos/ncaa/500/24.png"
"101","Syracuse","#ff6500","http://a.espncdn.com/i/teamlogos/ncaa/500/183.png"
"102","TCU","#4d1979","http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png"
"103","Temple","#A80532","http://a.espncdn.com/i/teamlogos/ncaa/500/218.png"
"104","Tennessee","#ff8200","http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png"
"105","Texas","#c15d26","http://a.espncdn.com/i/teamlogos/ncaa/500/251.png"
"106","Texas A&M","#500000","http://a.espncdn.com/i/teamlogos/ncaa/500/245.png"
"107","Texas State","#4e1719","http://a.espncdn.com/i/teamlogos/ncaa/500/326.png"
"108","Texas Tech","#CC0000","http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png"
"109","Toledo","#0a2240","http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png"
"110","Troy","#AE0210","http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png"
"111","Tulane","#006547","http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png"
"112","Tulsa","#003595","http://a.espncdn.com/i/teamlogos/ncaa/500/202.png"
"113","UAB","#003b28","http://a.espncdn.com/i/teamlogos/ncaa/500/5.png"
"114","UCF","#ba9b37","http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png"
"115","UCLA","#2774ae","http://a.espncdn.com/i/teamlogos/ncaa/500/26.png"
"116","UConn","#0c2340","http://a.espncdn.com/i/teamlogos/ncaa/500/41.png"
"117","UL Monroe","#231F20","http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png"
"118","UNLV","#b10202","http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png"
"119","USC","#9e2237","http://a.espncdn.com/i/teamlogos/ncaa/500/30.png"
"120","Utah","#ea002a","http://a.espncdn.com/i/teamlogos/ncaa/500/254.png"
"121","Utah State","#00263a","http://a.espncdn.com/i/teamlogos/ncaa/500/328.png"
"122","UTEP","#ff8200","http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png"
"123","UTSA","#002A5C","http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png"
"124","Vanderbilt","#866d4b","http://a.espncdn.com/i/teamlogos/ncaa/500/238.png"
"125","Virginia","#232d4b","http://a.espncdn.com/i/teamlogos/ncaa/500/258.png"
"126","Virginia Tech","#630031","http://a.espncdn.com/i/teamlogos/ncaa/500/259.png"
"127","Wake Forest","#9E7E38","http://a.espncdn.com/i/teamlogos/ncaa/500/154.png"
"128","Washington","#33006f","http://a.espncdn.com/i/teamlogos/ncaa/500/264.png"
"129","Washington State","#981e32","http://a.espncdn.com/i/teamlogos/ncaa/500/265.png"
"130","Western Kentucky","#F32026","http://a.espncdn.com/i/teamlogos/ncaa/500/98.png"
"131","Western Michigan","#532e1f","http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png"
"132","West Virginia","#002855","http://a.espncdn.com/i/teamlogos/ncaa/500/277.png"
"133","Wisconsin","#c4012f","http://a.espncdn.com/i/teamlogos/ncaa/500/275.png"
"134","Wyoming","#492f24","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png"
